,DATE,CIVPART
0,2010-01-01,64.8
1,2010-02-01,64.9
2,2010-03-01,64.9
3,2010-04-01,65.2
4,2010-05-01,64.9
5,2010-06-01,64.6
6,2010-07-01,64.6
7,2010-08-01,64.7
8,2010-09-01,64.6
9,2010-10-01,64.4
10,2010-11-01,64.6
11,2010-12-01,64.3
12,2011-01-01,64.2
13,2011-02-01,64.1
14,2011-03-01,64.2
15,2011-04-01,64.2
16,2011-05-01,64.1
17,2011-06-01,64.0
18,2011-07-01,64.0
19,2011-08-01,64.1
20,2011-09-01,64.2
21,2011-10-01,64.1
22,2011-11-01,64.1
23,2011-12-01,64.0
24,2012-01-01,63.7
25,2012-02-01,63.8
26,2012-03-01,63.8
27,2012-04-01,63.7
28,2012-05-01,63.7
29,2012-06-01,63.8
30,2012-07-01,63.7
31,2012-08-01,63.5
32,2012-09-01,63.6
33,2012-10-01,63.8
34,2012-11-01,63.6
35,2012-12-01,63.7
36,2013-01-01,63.7
37,2013-02-01,63.4
38,2013-03-01,63.3
39,2013-04-01,63.4
40,2013-05-01,63.4
41,2013-06-01,63.4
42,2013-07-01,63.3
43,2013-08-01,63.3
44,2013-09-01,63.2
45,2013-10-01,62.8
46,2013-11-01,63.0
47,2013-12-01,62.9
48,2014-01-01,62.9
49,2014-02-01,62.9
50,2014-03-01,63.1
51,2014-04-01,62.8
52,2014-05-01,62.9
53,2014-06-01,62.8
54,2014-07-01,62.9
55,2014-08-01,62.9
56,2014-09-01,62.8
57,2014-10-01,62.9
58,2014-11-01,62.9
59,2014-12-01,62.8
60,2015-01-01,62.9
61,2015-02-01,62.7
62,2015-03-01,62.6
63,2015-04-01,62.8
64,2015-05-01,62.9
65,2015-06-01,62.7
66,2015-07-01,62.6
67,2015-08-01,62.6
68,2015-09-01,62.4
69,2015-10-01,62.5
70,2015-11-01,62.5
71,2015-12-01,62.7
72,2016-01-01,62.7
73,2016-02-01,62.8
74,2016-03-01,63.0
75,2016-04-01,62.9
76,2016-05-01,62.7
77,2016-06-01,62.7
78,2016-07-01,62.8
79,2016-08-01,62.9
80,2016-09-01,62.9
81,2016-10-01,62.8
82,2016-11-01,62.7
83,2016-12-01,62.7
84,2017-01-01,62.8
85,2017-02-01,62.9
86,2017-03-01,62.9
87,2017-04-01,63.0
88,2017-05-01,62.8
89,2017-06-01,62.8
90,2017-07-01,62.9
91,2017-08-01,62.9
92,2017-09-01,63.1
93,2017-10-01,62.7
94,2017-11-01,62.7
95,2017-12-01,62.7
96,2018-01-01,62.7
97,2018-02-01,63.0
98,2018-03-01,62.9
99,2018-04-01,62.9
100,2018-05-01,62.9
101,2018-06-01,62.9
102,2018-07-01,62.9
103,2018-08-01,62.7
104,2018-09-01,62.7
105,2018-10-01,62.9
106,2018-11-01,62.9
107,2018-12-01,63.0
108,2019-01-01,63.1
109,2019-02-01,63.1
110,2019-03-01,63.1
111,2019-04-01,62.9
112,2019-05-01,62.9
113,2019-06-01,62.9
114,2019-07-01,63.1
115,2019-08-01,63.1
116,2019-09-01,63.2
117,2019-10-01,63.2
118,2019-11-01,63.2
119,2019-12-01,63.3
120,2020-01-01,63.4
121,2020-02-01,63.4
122,2020-03-01,62.7
123,2020-04-01,60.2
124,2020-05-01,60.8
125,2020-06-01,61.4
126,2020-07-01,61.5
127,2020-08-01,61.7
128,2020-09-01,61.4
129,2020-10-01,61.6
130,2020-11-01,61.5
131,2020-12-01,61.5
132,2021-01-01,61.4
133,2021-02-01,61.5
134,2021-03-01,61.5
135,2021-04-01,61.7
136,2021-05-01,61.6
137,2021-06-01,61.6
138,2021-07-01,61.7
139,2021-08-01,61.7
140,2021-09-01,61.7
141,2021-10-01,61.7
142,2021-11-01,61.9
143,2021-12-01,61.9
144,2022-01-01,62.2
145,2022-02-01,62.3
146,2022-03-01,62.4
147,2022-04-01,62.2
148,2022-05-01,62.3
149,2022-06-01,62.2
150,2022-07-01,62.1
