,DATE,LNS11300060
0,2010-01-01,82.4
1,2010-02-01,82.3
2,2010-03-01,82.4
3,2010-04-01,82.6
4,2010-05-01,82.3
5,2010-06-01,82.2
6,2010-07-01,81.9
7,2010-08-01,82.0
8,2010-09-01,82.0
9,2010-10-01,81.8
10,2010-11-01,82.0
11,2010-12-01,81.9
12,2011-01-01,81.7
13,2011-02-01,81.6
14,2011-03-01,81.7
15,2011-04-01,81.7
16,2011-05-01,81.7
17,2011-06-01,81.7
18,2011-07-01,81.4
19,2011-08-01,81.6
20,2011-09-01,81.5
21,2011-10-01,81.3
22,2011-11-01,81.5
23,2011-12-01,81.6
24,2012-01-01,81.5
25,2012-02-01,81.5
26,2012-03-01,81.5
27,2012-04-01,81.4
28,2012-05-01,81.4
29,2012-06-01,81.5
30,2012-07-01,81.4
31,2012-08-01,81.4
32,2012-09-01,81.5
33,2012-10-01,81.6
34,2012-11-01,81.2
35,2012-12-01,81.4
36,2013-01-01,81.1
37,2013-02-01,81.0
38,2013-03-01,81.0
39,2013-04-01,81.0
40,2013-05-01,81.2
41,2013-06-01,81.2
42,2013-07-01,81.2
43,2013-08-01,81.0
44,2013-09-01,81.0
45,2013-10-01,80.6
46,2013-11-01,81.0
47,2013-12-01,80.8
48,2014-01-01,80.9
49,2014-02-01,81.1
50,2014-03-01,81.1
51,2014-04-01,80.8
52,2014-05-01,80.7
53,2014-06-01,81.0
54,2014-07-01,80.8
55,2014-08-01,81.1
56,2014-09-01,80.8
57,2014-10-01,80.9
58,2014-11-01,80.9
59,2014-12-01,80.9
60,2015-01-01,81.0
61,2015-02-01,80.9
62,2015-03-01,80.8
63,2015-04-01,81.0
64,2015-05-01,81.1
65,2015-06-01,80.9
66,2015-07-01,80.7
67,2015-08-01,80.7
68,2015-09-01,80.6
69,2015-10-01,80.8
70,2015-11-01,80.9
71,2015-12-01,80.9
72,2016-01-01,81.1
73,2016-02-01,81.1
74,2016-03-01,81.3
75,2016-04-01,81.2
76,2016-05-01,81.2
77,2016-06-01,81.3
78,2016-07-01,81.3
79,2016-08-01,81.4
80,2016-09-01,81.5
81,2016-10-01,81.5
82,2016-11-01,81.4
83,2016-12-01,81.3
84,2017-01-01,81.5
85,2017-02-01,81.6
86,2017-03-01,81.6
87,2017-04-01,81.7
88,2017-05-01,81.7
89,2017-06-01,81.6
90,2017-07-01,81.8
91,2017-08-01,81.6
92,2017-09-01,81.9
93,2017-10-01,81.6
94,2017-11-01,81.7
95,2017-12-01,81.8
96,2018-01-01,81.7
97,2018-02-01,82.1
98,2018-03-01,82.0
99,2018-04-01,82.0
100,2018-05-01,82.0
101,2018-06-01,82.1
102,2018-07-01,82.1
103,2018-08-01,81.9
104,2018-09-01,82.0
105,2018-10-01,82.3
106,2018-11-01,82.2
107,2018-12-01,82.3
108,2019-01-01,82.5
109,2019-02-01,82.5
110,2019-03-01,82.5
111,2019-04-01,82.3
112,2019-05-01,82.2
113,2019-06-01,82.2
114,2019-07-01,82.1
115,2019-08-01,82.6
116,2019-09-01,82.7
117,2019-10-01,82.8
118,2019-11-01,82.8
119,2019-12-01,82.9
120,2020-01-01,83.1
121,2020-02-01,83.0
122,2020-03-01,82.5
123,2020-04-01,79.9
124,2020-05-01,80.6
125,2020-06-01,81.5
126,2020-07-01,81.2
127,2020-08-01,81.4
128,2020-09-01,81.0
129,2020-10-01,81.2
130,2020-11-01,80.9
131,2020-12-01,81.0
132,2021-01-01,81.1
133,2021-02-01,81.2
134,2021-03-01,81.3
135,2021-04-01,81.4
136,2021-05-01,81.4
137,2021-06-01,81.7
138,2021-07-01,81.9
139,2021-08-01,81.8
140,2021-09-01,81.6
141,2021-10-01,81.7
142,2021-11-01,81.9
143,2021-12-01,81.9
144,2022-01-01,82.0
145,2022-02-01,82.2
146,2022-03-01,82.5
147,2022-04-01,82.4
148,2022-05-01,82.6
149,2022-06-01,82.3
150,2022-07-01,82.4
