,DATE,FEDTARMDLR
0,2012-01-25,4.3
1,2012-04-25,4.3
2,2012-06-20,4.3
3,2012-09-13,4.0
4,2012-12-12,4.0
5,2013-03-20,4.0
6,2013-06-19,4.0
7,2013-09-18,4.0
8,2013-12-18,4.0
9,2014-03-19,4.0
10,2014-06-18,3.8
11,2014-09-17,3.8
12,2014-12-17,3.8
13,2015-03-18,3.8
14,2015-06-17,3.8
15,2015-09-17,3.5
16,2015-12-16,3.5
17,2016-03-16,3.3
18,2016-06-15,3.0
19,2016-09-21,2.9
20,2016-12-14,3.0
21,2017-03-15,3.0
22,2017-06-14,3.0
23,2017-09-20,2.8
24,2017-12-13,2.8
25,2018-03-21,2.9
26,2018-06-13,2.9
27,2018-09-26,3.0
28,2018-12-19,2.8
29,2019-03-20,2.8
30,2019-06-19,2.5
31,2019-09-18,2.5
32,2019-12-11,2.5
33,2020-06-10,2.5
34,2020-09-16,2.5
35,2020-12-16,2.5
36,2021-03-17,2.5
37,2021-06-16,2.5
38,2021-09-22,2.5
39,2021-12-15,2.5
40,2022-03-16,2.4
41,2022-06-15,2.5
